term,definition,notes,category,theme_primary,register,authority_requirement,proof_type,exposure_cost,overuse_penalty,silence_preferred_when_blocked,replacement_if_blocked,cultural_specificity,scene_weight,era_scene,usage_mode
Common Themes / Specific Terms,Cultural Significance,"Category motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Rolex,"Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""","Luxury Horology motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
AP (Audemars Piguet),"Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""","Luxury Horology motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Patek Philippe,"Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""","Luxury Horology motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
Richard Mille,"Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""","Luxury Horology motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"Cartier (""Cartis"").","Signals a transition from ""street rich"" to ""wealthy."" A ""Bust Down"" vs. a ""Plain Jane.""","Luxury Horology motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
The Trap,References to the drug trade as a survival mechanism or a foundation for wealth.,"The ""Hustle"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
The Kitchen,References to the drug trade as a survival mechanism or a foundation for wealth.,"The ""Hustle"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Water"" (diamonds or high purity)",References to the drug trade as a survival mechanism or a foundation for wealth.,"The ""Hustle"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
"""Weight"" (bulk product).",References to the drug trade as a survival mechanism or a foundation for wealth.,"The ""Hustle"" motif; used when implying status through context, not declaration.",contextual_signal,wealth_lifestyle,coded,earned,implication,0.6,0.7,True,,scene,0.5,modern,implication
